60.6万,192.4万,地狱少女 宵伽,2611.6万,"治愈,神魔"
2.5万,231.1万,请问您今天要来点兔子吗？？～Sing for You～,126.3万,"漫画改,搞笑,日常,萌系"
358.3万,353.7万,百变小樱,4064万,"少女,魔法"
92.2万,199.5万,魔法少女小圆,1943.9万,"奇幻,魔法,穿越,原创"
24.6万,145万,没落要塞 / DECA-DENCE,2540.7万,"原创,科幻,架空,冒险"
63.2万,142.7万,博多豚骨拉面团,2465.5万,小说改
124.7万,140万,我太受欢迎了该怎么办,3579.4万,"乙女,漫画改,校园"
109.5万,183.3万,Rewrite,3534.5万,"奇幻,校园,穿越"
8.6万,141.2万,GOSICK,440.7万,"萌系,奇幻,日常,催泪"
113.3万,185.7万,伪恋：,4677.1万,"日常,校园,漫画改"
168万,162万,Love Live! School Idol Project,1972.4万,"校园,音乐,偶像,社团"
55.8万,145.4万,终将成为你,1928万,"恋爱,校园,漫画改"
66.4万,145.1万,碧蓝航线,2864万,"游戏改,战斗,萌系,架空"
89.3万,163.3万,笨蛋，测验，召唤兽,2411.7万,"奇幻,校园,恋爱,小说改"
116.7万,286.1万,K RETURN OF KINGS,6656.6万,"奇幻,战斗,声控,原创"
21.3万,150.2万,品酒要在成为夫妻后,3815.6万,"搞笑,恋爱,漫画改"
47.9万,181.3万,邪神与厨二病少女,3654.1万,"搞笑,日常,神魔"
70万,150.1万,Just Because!,2503.4万,"恋爱,原创,校园"
51.1万,151.6万,流汗吧！健身少女,3515.6万,"漫画改,日常,运动"
46.1万,150.4万,实况主的逃脱游戏,3114.3万,"漫画改,穿越,冒险"
238.6万,477.4万,魔法禁书目录 第二季,3905.7万,"科幻,校园,战斗,热血"
49.5万,247.6万,玉子爱情故事,1176.2万,"校园,少女,恋爱"
129.2万,130.5万,家庭教师HITMAN REBORN!,3854.2万,"奇幻,热血,战斗,漫画改"
258.8万,196.7万,犬夜叉,6959.8万,"漫画改,热血,穿越,奇幻"
87.7万,164万,NEW GAME!,2379.2万,"萌系,日常"
54.3万,131.2万,爱吃拉面的小泉同学,2431.1万,"治愈,美食,漫画改"
93.3万,158.1万,无头骑士异闻录,1609.6万,"奇幻,日常,声控,小说改"
53.4万,130.9万,十二大战,3682.5万,"小说改,热血,战斗"
110.5万,129.5万,刀剑乱舞-花丸-,2346万,"游戏改,日常,架空"
43.1万,132.4万,比宇宙更远的地方,1850.3万,"声控,治愈,励志,原创"
41.9万,132.8万,街角魔族,2689.4万,"漫画改,日常,萌系,搞笑"
140.6万,132.9万,天使的 three pieces!,2644万,"小说改,音乐,萝莉"
62.2万,157.9万,轻音少女 第一季,1734.5万,"日常,校园,音乐,漫画改"
33.2万,137.2万,魔物娘的医生,2721.1万,"搞笑,日常,小说改,奇幻"
31.6万,135.5万,ISLAND ,2189.2万,"游戏改,催泪,推理,治愈"
56.8万,227.5万,鬼灯的冷彻 第二季,3499万,"搞笑,日常,神魔,漫画改"
55.7万,173.3万,One Room,2477.1万,"泡面,日常"
6.2万,160.9万,Fate/kaleid liner 魔法少女☆伊莉雅 Prisma☆Phantasm,325万,"漫画改,校园,魔法,搞笑"
70.6万,137.8万,URARA迷路帖,1913.4万,"漫画改,日常,架空"
62.7万,227.5万,鬼灯的冷彻,1879.4万,"日常,神魔"
43.2万,139.1万,刺客守则,3115.4万,"小说改,奇幻,战斗,魔法"
105.1万,153.1万,黑执事,1895.9万,漫画改
38.2万,119.5万,无限系统树,3401.2万,"小说改,穿越,奇幻,战斗"
4.3万,121.9万,咒术回战,604.5万,"漫画改,战斗,热血"
3.9万,121万,变态王子与不笑猫,163万,"日常,恋爱,小说改"
35.5万,120万,川柳少女,2049.6万,"漫画改,恋爱,校园,日常"
36.3万,130.4万,女神异闻录5 动画版,2755.3万,"奇幻,游戏改"
29.4万,486.5万,命运之夜——天之杯：恶兆之花,1644.2万,"奇幻,动画"
91.3万,151.9万,绯弹的亚里亚,1995.4万,"热血,奇幻,校园,战斗"
20.2万,120.4万,斩服少女,812.5万,"奇幻,热血,原创"
40.9万,123.2万,冰海战记,3483.3万,"漫画改,历史,热血,冒险"
77.6万,146.4万,热诚传说X,2987.8万,"热血,奇幻,战斗,架空"
28.3万,126.5万,COP CRAFT,2336.9万,"小说改,职场,奇幻,穿越"
3.1万,143.3万,Free!-Road to the World-梦,60万,"社团,校园,运动"
30.5万,124.7万,妖精森林的小不点,2117.2万,"奇幻,日常,漫画改,萌系"
30.6万,124.9万,散华礼弥,661.2万,"奇幻,日常,治愈"
2.5万,167.8万,NARUTO to BORUTO THE LIVE 2019,272万,漫画改
110.4万,126.7万,GAMERS电玩咖！,3208.9万,"小说改,校园,社团"
44.3万,126.9万,机巧少女不会受伤,1292.8万,战斗
53万,128.1万,邻家索菲,2183.4万,"萌系,漫画改"
4.4万,289.9万,名侦探柯南 唐红的恋歌,223.6万,"漫画改,推理,智斗"
29.8万,136万,DARKER THAN BLACK -黑之契约者-,1090.3万,"奇幻,战斗,热血,催泪"
50.5万,112.8万,Hand Shakers,1822.3万,"战斗,热血,萝莉,原创"
46.9万,115.5万,强风吹拂,2718.5万,"运动,励志,小说改,热血"
1.8万,121.2万,LoveLive! Sunshine!! 学园偶像 电影 彩虹彼端,50.4万,"原创,音乐,偶像,社团"
24.6万,124.4万,×××HOLiC,963.3万,"奇幻,日常"
108.3万,215.1万,学战都市Asterisk 第二季,5416.9万,"奇幻,校园,战斗,架空"
15.6万,114.1万,魔王勇者,593.9万,"奇幻,少女,声控,神魔"
7.9万,115.6万,她与她的猫,950.4万,治愈
71.2万,115.4万,八男？别闹了！,4091.5万,"小说改,穿越,奇幻,魔法"
91万,116.1万,弹丸论破,2422.6万,"推理,校园"
30万,136.5万,零之使魔,851.7万,"奇幻,日常,战斗,恋爱"
54.8万,115.9万,超人高中生们即便在异世界也能从容生存！,2692.5万,"小说改,穿越,奇幻,冒险"
59.5万,117.2万,Infinite Stratos 2,2102.1万,"校园,战斗"
25万,116.1万,不吉波普不笑,2027万,"小说改,奇幻,校园,声控"
32.2万,117.1万,怪化猫,1166.5万,"奇幻,治愈,神魔"
61.8万,118.1万,樱子小姐的脚下埋着秘密,2358.3万,"智斗,日常,推理"
34.9万,119.6万,青春之旅,896.3万,"少女,恋爱,校园"
13.7万,118.9万,ReLIFE,792.9万,"校园,恋爱,搞笑,治愈"
47.2万,119.1万,时钟机关之星,2511.3万,"小说改,科幻,架空"
85.8万,139.7万,弹丸论破3 -未来篇-,2932.6万,"热血,智斗,推理"
63.5万,143.8万,EVA 新世纪福音战士,2305.6万,"科幻,机战,战斗"
25.4万,105.4万,DARLING in the FRANXX（僅限港澳台地區）,544.2万,"科幻,原创,架空"
34.5万,282万,CLANNAD ～AFTER STORY～,1238.7万,"时泪,校园,治愈,催泪"
108.7万,121.2万,Love Live! Sunshine!!,1556.5万,"音乐,偶像"
7.8万,115.7万,水果篮子 第二季,675.7万,"漫画改,奇幻,校园,恋爱"
62.1万,110.5万,幻想嘉年华,1828万,"日常,泡面,奇幻"
29.6万,106.9万,天狼 Sirius the Jaeger,1326.4万,"战斗,原创,架空,冒险"
386.5万,224.6万,我的妹妹不可能那么可爱 第二季,2622.7万,"日常,萌系,校园,小说改"
97.9万,123.5万,赤发白雪姬 第一季,2372.7万,"少女,奇幻,架空"
44.4万,108.4万,噬神者,2988.3万,"奇幻,科幻,热血,游戏改"
20.4万,107.6万,电波女与青春男,665.2万,"萌系,日常,小说改"
25万,107.9万,索玛丽与森林之神,1511.3万,"漫画改,奇幻,治愈,萌系"
83.8万,231.1万,请问您今天要来点兔子吗？？,2020.4万,"萌系,日常,美食,萝莉"
27.7万,110.4万,灰与幻想的格林姆迦尔 ,1062.5万,"奇幻,战斗,小说改,励志"
35.2万,124.2万,3月的狮子,2002.7万,"漫画改,恋爱,日常,励志"
56.9万,108.6万,来自风平浪静的明天,965.7万,"奇幻,治愈,催泪,恋爱"
29.3万,122万,关于完全听不懂老公在说什么的事 第一季,5667.6万,"日常,泡面"
97.3万,125.3万,灼眼的夏娜,1286.4万,"校园,战斗,热血,小说改"
7.6万,199.5万,魔法少女小圆 剧场版 [新篇] 叛逆的物语,218.7万,"原创,战斗,奇幻,魔法"
2591,188万,Q版！黑色四叶草,84.5万,"搞笑,萌系,战斗,架空"
64.2万,128.6万,吹响吧！上低音号,2547万,"音乐,校园,少女,励志"
52.4万,102.2万,宝石商人理查德的谜鉴定,1427.8万,"小说改,日常,推理,治愈"
100万,101.5万,百武装战记,2399.6万,"恋爱,校园,战斗"
39.8万,102.8万,百炼霸王与圣约女武神,3106.4万,"小说改,奇幻,战斗,架空"
15万,102.3万,一起一起这里那里,808.8万,"萌系,日常,治愈,萝莉"
3万,199.5万,魔法少女小圆 剧场版 [前篇] 起始的物语,105.1万,"原创,奇幻,战斗,魔法"
3.7万,121.3万,哆啦A梦 第一季,337.8万,"漫画改,日常,少儿,搞笑"
121.2万,102.7万,学园孤岛,2497.6万,"萌系,校园,冒险,日常"
25.5万,110万,UQ HOLDER！悠久持有者！,2445.7万,"热血,战斗,漫画改,冒险"
5.9万,103.2万,我立于百万生命之上,568.7万,"漫画改,穿越"
18.6万,103.1万,只要贝尔哲布布大小姐喜欢就好,1196.9万,"萌系,搞笑,恋爱,奇幻"
38.6万,103.2万,动物新世代 / BNA,1704.4万,原创
64.7万,486.5万,Fate/stay night  06版,1435.1万,"奇幻,战斗,魔法,游戏改"
24.9万,110.5万,狼与香辛料,745.5万,"奇幻,日常,治愈,小说改"
36.2万,103.3万,多田君不恋爱,1566.4万,"恋爱,原创"
103.8万,506.1万,续 夏目友人帐,1713.3万,"奇幻,日常,治愈,催泪"
25.8万,108.3万,星之梦,878.1万,"催泪,奇幻,治愈"
81.1万,118.5万,加速世界,1714.1万,"科幻,校园,战斗,热血"
3.9万,105.4万,你与我最后的战场，亦或是世界起始的圣战,488万,"冒险,战斗,奇幻,恋爱"
26.3万,104.8万,刻刻,1696.9万,"科幻,漫画改"
64.2万,104.9万,濑户的花嫁,1731.2万,"萌系,日常,恋爱"
83.5万,506.1万,夏目友人帐 参,1473万,"奇幻,日常,治愈,催泪"
6.3万,95.4万,魔女之旅,380.3万,"小说改,魔法,奇幻,架空"
