barrage,follow,name,play,tags
664000,1451000,碧蓝航线,28640000,"游戏改,战斗,萌系,架空"
893000,1633000,笨蛋，测验，召唤兽,24117000,"奇幻,校园,恋爱,小说改"
558000,1454000,终将成为你,19280000,"恋爱,校园,漫画改"
700000,1501000,Just Because!,25034000,"恋爱,原创,校园"
1680000,1620000,Love Live! School Idol Project,19724000,"校园,音乐,偶像,社团"
1167000,2861000,K RETURN OF KINGS,66566000,"奇幻,战斗,声控,原创"
213000,1502000,品酒要在成为夫妻后,38156000,"搞笑,恋爱,漫画改"
479000,1813000,邪神与厨二病少女,36541000,"搞笑,日常,神魔"
461000,1504000,实况主的逃脱游戏,31143000,"漫画改,穿越,冒险"
511000,1516000,流汗吧！健身少女,35156000,"漫画改,日常,运动"
2386000,4774000,魔法禁书目录 第二季,39057000,"科幻,校园,战斗,热血"
495000,2476000,玉子爱情故事,11762000,"校园,少女,恋爱"
543000,1312000,爱吃拉面的小泉同学,24311000,"治愈,美食,漫画改"
2588000,1967000,犬夜叉,69598000,"漫画改,热血,穿越,奇幻"
431000,1324000,比宇宙更远的地方,18503000,"声控,治愈,励志,原创"
877000,1640000,NEW GAME!,23792000,"萌系,日常"
1105000,1295000,刀剑乱舞-花丸-,23460000,"游戏改,日常,架空"
1292000,1305000,家庭教师HITMAN REBORN!,38542000,"奇幻,热血,战斗,漫画改"
534000,1309000,十二大战,36825000,"小说改,热血,战斗"
933000,1581000,无头骑士异闻录,16096000,"奇幻,日常,声控,小说改"
419000,1328000,街角魔族,26894000,"漫画改,日常,萌系,搞笑"
1406000,1329000,天使的 three pieces!,26440000,"小说改,音乐,萝莉"
568000,2275000,鬼灯的冷彻 第二季,34990000,"搞笑,日常,神魔,漫画改"
316000,1355000,ISLAND ,21892000,"游戏改,催泪,推理,治愈"
622000,1579000,轻音少女 第一季,17345000,"日常,校园,音乐,漫画改"
332000,1372000,魔物娘的医生,27211000,"搞笑,日常,小说改,奇幻"
557000,1733000,One Room,24771000,"泡面,日常"
62000,1609000,Fate/kaleid liner 魔法少女☆伊莉雅 Prisma☆Phantasm,3250000,"漫画改,校园,魔法,搞笑"
706000,1378000,URARA迷路帖,19134000,"漫画改,日常,架空"
627000,2275000,鬼灯的冷彻,18794000,"日常,神魔"
432000,1391000,刺客守则,31154000,"小说改,奇幻,战斗,魔法"
1051000,1531000,黑执事,18959000,漫画改
43000,1219000,咒术回战,6045000,"漫画改,战斗,热血"
913000,1519000,绯弹的亚里亚,19954000,"热血,奇幻,校园,战斗"
355000,1200000,川柳少女,20496000,"漫画改,恋爱,校园,日常"
363000,1304000,女神异闻录5 动画版,27553000,"奇幻,游戏改"
294000,4865000,命运之夜——天之杯：恶兆之花,16442000,"奇幻,动画"
382000,1195000,无限系统树,34012000,"小说改,穿越,奇幻,战斗"
202000,1204000,斩服少女,8125000,"奇幻,热血,原创"
39000,1210000,变态王子与不笑猫,1630000,"日常,恋爱,小说改"
409000,1232000,冰海战记,34833000,"漫画改,历史,热血,冒险"
283000,1265000,COP CRAFT,23369000,"小说改,职场,奇幻,穿越"
776000,1464000,热诚传说X,29878000,"热血,奇幻,战斗,架空"
31000,1433000,Free!-Road to the World-梦,600000,"社团,校园,运动"
25000,1678000,NARUTO to BORUTO THE LIVE 2019,2720000,漫画改
305000,1247000,妖精森林的小不点,21172000,"奇幻,日常,漫画改,萌系"
1104000,1267000,GAMERS电玩咖！,32089000,"小说改,校园,社团"
306000,1249000,散华礼弥,6612000,"奇幻,日常,治愈"
443000,1269000,机巧少女不会受伤,12928000,战斗
530000,1281000,邻家索菲,21834000,"萌系,漫画改"
44000,2899000,名侦探柯南 唐红的恋歌,2236000,"漫画改,推理,智斗"
298000,1360000,DARKER THAN BLACK -黑之契约者-,10903000,"奇幻,战斗,热血,催泪"
79000,1156000,她与她的猫,9504000,治愈
712000,1154000,八男？别闹了！,40915000,"小说改,穿越,奇幻,魔法"
469000,1155000,强风吹拂,27185000,"运动,励志,小说改,热血"
1083000,2151000,学战都市Asterisk 第二季,54169000,"奇幻,校园,战斗,架空"
156000,1141000,魔王勇者,5939000,"奇幻,少女,声控,神魔"
246000,1244000,×××HOLiC,9633000,"奇幻,日常"
18000,1212000,LoveLive! Sunshine!! 学园偶像 电影 彩虹彼端,504000,"原创,音乐,偶像,社团"
505000,1128000,Hand Shakers,18223000,"战斗,热血,萝莉,原创"
548000,1159000,超人高中生们即便在异世界也能从容生存！,26925000,"小说改,穿越,奇幻,冒险"
300000,1365000,零之使魔,8517000,"奇幻,日常,战斗,恋爱"
910000,1161000,弹丸论破,24226000,"推理,校园"
322000,1171000,怪化猫,11665000,"奇幻,治愈,神魔"
595000,1172000,Infinite Stratos 2,21021000,"校园,战斗"
349000,1196000,青春之旅,8963000,"少女,恋爱,校园"
250000,1161000,不吉波普不笑,20270000,"小说改,奇幻,校园,声控"
858000,1397000,弹丸论破3 -未来篇-,29326000,"热血,智斗,推理"
635000,1438000,EVA 新世纪福音战士,23056000,"科幻,机战,战斗"
472000,1191000,时钟机关之星,25113000,"小说改,科幻,架空"
618000,1181000,樱子小姐的脚下埋着秘密,23583000,"智斗,日常,推理"
137000,1189000,ReLIFE,7929000,"校园,恋爱,搞笑,治愈"
78000,1157000,水果篮子 第二季,6757000,"漫画改,奇幻,校园,恋爱"
296000,1069000,天狼 Sirius the Jaeger,13264000,"战斗,原创,架空,冒险"
1087000,1212000,Love Live! Sunshine!!,15565000,"音乐,偶像"
254000,1054000,DARLING in the FRANXX（僅限港澳台地區）,5442000,"科幻,原创,架空"
621000,1105000,幻想嘉年华,18280000,"日常,泡面,奇幻"
